Payload ID,Mode,Movement (T/F),Movement Vehicle,Final X,Final Y,Final Z,Start Time (hr elasped),Estimate Run time (hr)
0.0,Safe,T,Starship,0.0,0.0,0.0,0.0,50.0
0.0,Safe,T,Transport1,11.25,12.5,0.0,50.0,1.0
0.0,Safe,F,,,,,51.0,4.0
0.0,Standby,F,,,,,55.0,3.0
0.0,Active,F,,,,,58.0,1460.0
0.0,Safe,F,,,,,1518.0,7242.0
,,,,,,,,
1.0,Safe,T,Starship,0.0,0.0,0.0,0.0,50.0
1.0,Safe,T,Transport2,20.0,18.75,0.0,50.0,1.0
1.0,Safe,F,,,,,51.0,7.0
1.0,Standby,F,,,,,58.0,3.0
1.0,Active,F,,,,,61.0,473.0
1.0,Safe,F,,,,,534.0,8226.0
,,,,,,,,
2.0,Safe,T,Starship,0.0,0.0,0.0,0.0,2.0
2.0,Active,F,,,,,2.0,358.0
2.0,Standby,F,,,,,360.0,8400.0
,,,,,,,,
3.0,Safe,T,Starship,0.0,0.0,0.0,0.0,2.0
3.0,Active,F,,,,,2.0,358.0
3.0,Standby,F,,,,,360.0,8400.0
,,,,,,,,
4.0,Safe,T,Starship,0.0,0.0,0.0,0.0,2.0
4.0,Standby,F,,,,,2.0,3.0
4.0,Active,T,,0.0,0.0,0.0,5.0,1.0
4.0,Active,T,,0.0,35.0,0.0,6.0,1.0
4.0,Active,F,,,,,7.0,3.0
4.0,Active,T,,0.0,0.0,0.0,10.0,1.0
4.0,Standby,F,,,,,11.0,13.0
4.0,Active,T,,0.0,35.0,0.0,24.0,1.0
4.0,Active,F,,,,,25.0,3.0
4.0,Active,F,,,,,28.0,3.0
4.0,Active,T,,0.0,25.0,0.0,31.0,1.0
4.0,Active,F,,,,,32.0,3.0
4.0,Active,T,,0.0,0.0,0.0,35.0,1.0
4.0,Active,F,,,,,36.0,3.0
4.0,Standby,F,,,,,39.0,9.0
4.0,Active,T,,0.0,25.0,0.0,48.0,1.0
4.0,Active,F,,,,,49.0,3.0
4.0,Active,F,,,,,52.0,3.0
4.0,Active,F,,,,,55.0,3.0
4.0,Active,F,,,,,58.0,3.0
4.0,Active,T,,0.0,0.0,0.0,61.0,1.0
4.0,Standby,F,,,,,62.0,8698.0
4.0,Safe,F,,,,,8760.0,
,,,,,,,,
5.0,Safe,T,Starship,0.0,0.0,0.0,0.0,2.0
5.0,Standby,F,,,,,2.0,5.0
5.0,Active,T,,0.0,0.0,0.0,7.0,1.0
5.0,Active,T,,25.0,0.0,0.0,8.0,1.0
5.0,Active,F,,,,,9.0,3.0
5.0,Active,F,,,,,12.0,3.0
5.0,Active,T,,0.0,0.0,0.0,15.0,1.0
5.0,Standby,F,,,,,16.0,10.0
5.0,Active,T,,0.0,25.0,0.0,26.0,1.0
5.0,Active,F,,,,,27.0,3.0
5.0,Active,F,,,,,30.0,3.0
5.0,Active,F,,,,,33.0,3.0
