Objective,Number,Understanding,Humans
A1,1,5,2
A2,2,5,5
A3,3,5,4
A4,4,5,3
A5,5,5,5
A6,6,4,5
A7,7,5,5
A8,8,5,5
A9,9,2,5
A10,10,5,2
A11,11,5,4
A12,12,5,2
B1,13,4,4
B2,14,4,4
B3,15,4,3
B4,16,2,1
B5,17,5,4
B6,18,5,3
B7,19,5,3
C1,20,5,3
C2,21,5,3
C3,22,5,4
C4,23,5,1
C5,24,5,3
C6,25,4,3
C7,26,5,5
D1,27,1,5
D2,28,1,4
D3,29,1,4
D4,30,1,3
D5,31,1,3
D6,32,3,4
D7,33,1,3
D8,34,1,4
D9,35,1,3
D10,36,1,1
D11,37,1,2
D12,38,1,3
D13,39,1,4
D14,40,4,3
D15,41,1,4
D16,42,1,4
D17,43,1,4
E1,44,5,1
E2,45,5,2
E3,46,5,2
E4,47,5,3
E5,48,5,2
E6,49,5,1
E7,50,3,1
E8,51,3,2
E9,52,3,3
E10,53,5,2
E11,54,5,2
E12,55,5,1
E13,56,5,1
E14,57,5,1
E15,58,5,1
E16,59,5,3
E17,60,5,2
E18,61,5,1
E19,62,5,1
E20,63,5,5
E21,64,5,5
E22,65,5,3
E23,66,5,4
E24,67,5,2
E25,68,5,2
E26,69,5,2
E27,70,5,2
E28,71,5,2
E29,72,5,2
E30,73,3,1
E31,74,3,1
E32,75,5,3
E33,76,5,5
E34,77,5,5
E35,78,5,4
E36,79,5,3
E37,80,5,2
E38,81,5,2
E39,82,5,4
E40,83,5,4
E41,84,5,5
E42,85,5,2
E43,86,5,2
