Number,Integrated,Consquences,Liklihood
1,8.1035,0,0
2,7.6118,5,4
3,7.4345,2,2
4,7.3831,3,3
5,7.2473,5,5
6,7.2076,5,5
7,7.1961,5,5
8,7.1679,5,2
9,7.1145,5,4
10,7.0946,5,3
11,7.0517,0,0
12,7.0449,5,4
13,7.0341,5,2
14,7.0315,0,0
15,6.9684,5,5
16,6.9478,4,5
17,6.9465,5,5
18,6.8425,3,5
19,6.8039,0,0
20,6.7919,3,5
21,6.7837,5,5
22,6.7199,5,5
23,6.711,5,5
24,6.6953,5,5
25,6.6892,5,5
26,6.6618,5,5
27,6.5927,4,5
28,6.5922,0,0
29,6.5842,5,4
30,6.5694,5,5
31,6.5659,5,5
32,6.4985,4,3
33,6.4421,4,5
34,6.4434,5,5
35,6.417,4,4
36,6.4155,5,2
37,6.3832,5,3
38,6.3135,4,5
39,6.3088,3,5
40,6.2932,0,0
41,6.2747,5,1
42,6.2668,0,0
43,6.2439,3,5
44,6.241,0,0
45,6.2297,0,0
46,6.2273,5,5
47,6.2202,5,5
48,6.2096,4,1
49,6.2061,5,5
50,6.2023,4,2
51,6.1992,5,5
52,6.1786,5,5
53,6.1779,4,5
54,6.1514,0,0
55,6.1509,0,0
56,6.1362,5,5
57,6.1356,5,5
58,6.1308,5,5
59,6.1197,4,5
60,6.1171,4,4
61,6.0245,0,0
62,5.994,0,0
63,5.9911,0,0
64,5.9908,5,5
65,5.971,5,4
66,5.9451,3,5
67,5.9391,0,0
68,5.9363,5,4
69,5.932,4,1
70,5.9286,0,0
71,5.922,5,2
72,5.9065,5,5
73,5.8983,0,0
74,5.8717,3,5
75,5.8643,4,5
76,5.8302,5,4
77,5.8287,3,4
78,5.8267,1,1
79,5.8252,5,5
80,5.7795,0,0
81,5.758,0,0
82,5.7484,5,4
83,5.7072,4,5
84,5.6803,0,0
85,5.6619,4,5
86,5.6023,4,5
87,5.6017,5,5
88,5.5988,3,4
89,5.5786,4,5
90,5.5381,4,5
91,5.5326,5,5
92,5.5088,4,2
93,5.4992,1,1
94,5.4897,5,5
95,5.4553,4,1
96,5.4513,5,5
97,5.4441,5,5
98,5.3922,0,0
99,5.3787,4,4
100,5.3439,4,3
101,5.3355,0,0
102,5.3268,4,5
103,5.3171,4,1
104,5.2725,5,5
105,5.2711,3,4
106,5.2485,0,0
107,5.2409,5,5
108,5.2217,5,5
109,5.2127,5,4
110,5.2125,4,2
111,5.2061,4,3
112,5.1952,4,3
113,5.1824,0,0
114,5.1598,5,4
115,5.1554,0,0
116,5.1497,4,2
117,5.1095,0,0
118,5.1006,5,4
119,5.087,3,1
120,5.0865,2,1
121,5.0666,5,3
122,5.0443,5,2
123,5.028,4,2
124,5.0274,5,2
125,5.0194,0,0
126,5.0163,5,2
127,4.9967,0,0
128,4.9962,4,4
129,4.9858,0,0
130,4.9389,5,4
131,4.927,3,5
132,4.9158,5,3
133,4.912,5,3
134,4.9063,5,4
135,4.9054,5,2
136,4.8606,5,5
137,4.8445,3,4
138,4.8017,0,0
139,4.7856,4,3
140,4.784,5,3
141,4.7776,0,0
142,4.766,5,4
143,4.7572,5,4
144,4.7544,5,4
145,4.6999,4,5
146,4.6761,0,0
147,4.6694,0,0
148,4.6511,4,5
149,4.6454,4,4
150,4.635,4,4
151,4.5955,3,4
152,4.5733,3,2
153,4.5437,4,4
154,4.5432,5,4
155,4.5333,4,3
156,4.5246,4,2
157,4.5128,0,0
158,4.4926,5,3
159,4.4918,4,4
160,4.4363,4,4
161,4.4023,3,2
162,4.3772,3,2
163,4.3541,4,2
164,4.3352,4,3
165,4.3234,4,2
166,4.3084,4,2
167,4.2945,5,2
168,4.2749,3,2
169,4.2665,0,0
170,4.1522,4,3
171,4.1513,4,4
172,4.1431,4,4
173,4.1423,5,2
174,4.128,4,4
175,4.073,5,4
176,4.0204,4,2
177,3.9682,4,2
178,3.9458,0,0
179,3.9353,5,4
180,3.8944,5,2
181,3.8813,5,4
182,3.8091,5,4
183,3.6367,5,3
184,3.6049,3,4
185,3.4893,5,2
186,3.4305,0,0
187,3.0722,4,2
